ACCIDENT_NUMBER,EVENT_DATE,CITY,STATE,LATITUDE,LONGITUDE,INJURY_SEVERITY,AIRCRAFT_DAMAGE,AIRCRAFT_CATEGORY,MAKE,MODEL,TOTAL_FATALITIES,TOTAL_INJURIES,TOTAL_UNINJURED
CEN21FA130,2/16/2021,JANESVILLE, WI,42.595377,-89.030245,FATAL,SUBSTANTIAL,AIRPLANE,VELOCITY,VTWIN,2,0,0
ANC21LA017,2/13/2021,TYONEK, AK,61.336392,-152.01643,MINOR,SUBSTANTIAL,AIRPLANE,MAULE,M-6-235,0,2,0
CEN21LA127,2/12/2021,PRAIRIE DU SAC, WI,43.297731,-89.755693,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172N,0,0,1
ERA21LA131,2/10/2021,LAKE PLACID, FL,27.243723,-81.413767,MINOR,SUBSTANTIAL,AIRPLANE,PIPER,PA-18,0,1,0
WPR21LA108,2/8/2021,SARATOGA, WY,42.1,-107.58,MINOR,SUBSTANTIAL,AIRPLANE,ABBETT GERRY,LANCAIR EVOLUTION,0,2,0
CEN21FA125,2/8/2021,GALT, MO,40.10722,-93.37464,FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,177RG,2,0,0
ERA21LA128,2/8/2021,ORANGE COUNTY, VA,38.247194,-78.045611,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,0,1
WPR21LA109,2/8/2021,MESA, AZ,33.461769,-111.73046,NON-FATAL,SUBSTANTIAL,HELICOPTER,MD HELICOPTER,369,0,0,2
WPR21LA112,2/8/2021,PRICE, UT,39.613889,-110.75161,NON-FATAL,SUBSTANTIAL,AIRPLANE,MAULE,M-5-180C,0,0,1
ERA21LA125,2/7/2021,COLUMBIA, SC,34,-80,MINOR,SUBSTANTIAL,AIRPLANE,TAYLORCRAFT,BC-65,0,1,0
WPR21LA106,2/5/2021,THERMAL, CA,33.62,-116.15,NON-FATAL,SUBSTANTIAL,AIRPLANE,JABIRU,SP 250,0,0,1
WPR21LA107,2/5/2021,HORSESHOE BEND, ID,44.00019,-116.13546,SIRUOSE,SUBSTANTIAL,HELICOPTER,HUGHES,OH-6A,0,2,0
ERA21LA126,2/4/2021,PAHOKEE, FL,26.746586,-80.655618,NON-FATAL,SUBSTANTIAL,HELICOPTER,BELL,206,0,0,2
CEN21LA123,2/3/2021,WEIDMAN, MI,43.720649,-85.002243,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,J3,0,0,0
ERA21LA122,2/2/2021,LEICESTER, MA,42.276667,71.959444,MINOR,SUBSTANTIAL,AIRPLANE,PIPER,PA46,0,3,0
CEN21LA121,2/2/2021,HACKBERRY, LA,30.009412,-93.330048,FATAL,DESTROYED,AIRPLANE,CESSNA,182Q,2,0,0
WPR21LA098,1/31/2021,CRESCENT CITY, CA,41.84029,-124.172,MINOR,SUBSTANTIAL,AIRPLANE,CESSNA,T182T,0,2,0
CEN21LA119,1/31/2021,SILT, CO,39.5198,-107.6667,SIRUOSE,DESTROYED,AIRPLANE,CESSNA,172,0,3,0
ERA21LA121,1/30/2021,KNOXVILLE, TN,35.801686,-84.145919,NON-FATAL,SUBSTANTIAL,HELICOPTER,ROBINSON HELICOPTER CO,R66,0,0,1
ENG21LA013,1/29/2021,ONTARIO, CA,34.055977,-117.60139,,MINOR,AIRPLANE,BOEING,767-338,0,0,0
CEN21LA118,1/28/2021,DAVENPORT, IA,41.614972,-90.587418,NON-FATAL,SUBSTANTIAL,AIRPLANE,BEECH,300,0,0,2
WPR21LA097,1/27/2021,SALISH SEA, WA,48.285591,-123.6824,FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,170A,1,0,0
CEN21LA117,1/26/2021,WALLER, TX,29.992833,-95.930482,SIRUOSE,SUBSTANTIAL,AIRPLANE,ZENAIR ZODIAC,601HDS,0,1,0
ERA21LA117,1/26/2021,WEST PALM BEACH, FL,26.593056,-80.085065,NON-FATAL,SUBSTANTIAL,HELICOPTER,ROBINSON,R22,0,0,2
ERA21LA111,1/25/2021,BOYNTON BEACH, FL,26.54121,-80.03705,FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA-28-161,1,0,0
ANC21LA012,1/25/2021,ANCHORAGE, AK,61.210591,-149.8406,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA-14,0,0,3
WPR21LA096,1/24/2021,SPOTTED BEAR, MT,47.997177,-113.58001,NON-FATAL,SUBSTANTIAL,AIRPLANE,HECKEL,SUPER SPORTSMAN,0,0,2
ERA21LA112,1/23/2021,DENTON, NC,35.705403,-80.048596,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,U206,0,0,2
ERA21LA113,1/23/2021,ROCKINGHAM, NC,34.891796,-79.757152,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,182L,0,0,1
ERA21LA114,1/23/2021,TERRELL, NC,35.6238,-80.9305,MINOR,SUBSTANTIAL,AIRPLANE,AVIAT,A1,0,1,0
WPR21LA093,1/22/2021,QUEEN CREEK, AZ,33.32,-111.48,NON-FATAL,SUBSTANTIAL,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER,369E,0,0,2
ERA21LA123,1/22/2021,HOMESTEAD, FL,25.130773,-81.035603,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA-32-301,0,0,4
ERA21LA109,1/21/2021,MINNEOLA, FL,28.62612,-81.80011,SIRUOSE,SUBSTANTIAL,AIRPLANE,PLANTE,CHALLENGER II,0,1,0
WPR21LA094,1/21/2021,EAGLE POINT, OR,42.25219,-122.453,MINOR,SUBSTANTIAL,AIRPLANE,RANDY WAYNE MALONEY,M1,0,2,0
ERA21LA106,1/19/2021,LEESBURG, VA,39.081972,-77.559229,NON-FATAL,SUBSTANTIAL,AIRPLANE,AMERICAN,AA5,0,0,2
CEN21LA113,1/19/2021,NEWELLTON, LA,32.174435,-91.360249,FATAL,SUBSTANTIAL,AIRPLANE,AIR TRACTOR INC,AT-802A,1,0,0
ERA21LA104,1/17/2021,ST. PETERSBURG, FL,27.766788,-82.770986,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA28,0,0,2
ERA21LA105,1/17/2021,RICHMOND HILL, GA,31.9383,-81.3034,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,177RG,0,0,1
WPR21LA092,1/16/2021,ELKO, NV,40.934666,-115.60009,MINOR,SUBSTANTIAL,AIRPLANE,AVIPRO AIRCRAFT LTD,BEARHAWK,0,1,0
ERA21LA103,1/15/2021,HOLLYWOOD, FL,26.001222,-80.240722,NON-FATAL,SUBSTANTIAL,AIRPLANE,TL ULTRALIGHT SRO,STINGSPORT,0,0,1
WPR21LA100,1/14/2021,KELSO, WA,46.12,-122.9,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172G,0,0,1
ERA21LA115,1/14/2021,MYRTLE BEACH, SC,34.0104,-78.0584,SIRUOSE,,AIRPLANE,BEECH,300,0,1,4
WPR21LA086,1/13/2021,SPANISH FORK, UT,40.130849,-111.6879,NON-FATAL,SUBSTANTIAL,HELICOPTER,HUGHES,269C,0,0,2
ERA21LA107,1/13/2021,PELL CITY, AL,33.581338,-86.241358,NON-FATAL,SUBSTANTIAL,AIRPLANE,EXTRA FLUGZEUGBAU GMBH,EA 300/L,0,0,1
ERA21LA101,1/13/2021,COLUMBIA, SC,33.983683,-81.003004,FATAL,DESTROYED,AIRPLANE,BEECH,F33,1,0,0
CEN21LA112,1/12/2021,SPARTA, MI,43.13002,-85.67238,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA-32R-301,0,0,2
ERA21LA098,1/10/2021,OLD BETHPAGE, NY,40.7598,-73.4465,SIRUOSE,SUBSTANTIAL,AIRPLANE,CESSNA,421B,0,1,0
CEN21LA109,1/9/2021,ALBANY, TX,32.729096,-99.271909,NON-FATAL,SUBSTANTIAL,HELICOPTER,ROBINSON HELICOPTER,R44 II,0,0,3
WPR21LA084,1/9/2021,WINTHROP, WA,48.47372,-120.17966,NON-FATAL,SUBSTANTIAL,HELICOPTER,HUGHES,369D,0,0,2
CEN21LA110,1/9/2021,CUSHING, OK,35.939235,-96.820585,NON-FATAL,SUBSTANTIAL,AIRPLANE,AIR TRACTOR INC,AT-502,0,0,1
WPR21LA082,1/9/2021,WARM SPRINGS, OR,44.996186,-121.13765,FATAL,DESTROYED,AIRPLANE,CESSNA,560,1,0,0
WPR21LA083,1/8/2021,PALOUSE, WA,46.884969,-117.07687,MINOR,SUBSTANTIAL,AIRPLANE,CESSNA,170B,0,1,1
WPR21LA080,1/6/2021,PALM SPRINGS, CA,33.829722,-116.50666,SIRUOSE,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,1,0
ERA21LA100,1/4/2021,OBRIEN, FL,30.089803,-83.086307,NON-FATAL,SUBSTANTIAL,AIRPLANE,MURPHY,REBEL,0,0,2
CEN21LA107,1/4/2021,CASH, AR,35.7068,-90.945032,FATAL,DESTROYED,AIRPLANE,HAWKER BEECHCRAFT CORP,G58,2,0,0
WPR21LA076,1/3/2021,SANTA MONICA, CA,34.015822,-118.4513,NON-FATAL,SUBSTANTIAL,AIRPLANE,EXTRA FLUGZEUGBAU GMBH,EA 300/L,0,0,1
ERA21LA099,1/3/2021,PORTSMOUTH, NH,43.077944,-70.823278,NON-FATAL,SUBSTANTIAL,AIRPLANE,DIAMOND AIRCRAFT IND INC,DA 40,0,0,2
WPR21LA078,1/2/2021,MOAB, UT,38.757499,-109.75354,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,P210N,0,0,4
CEN21LA104,1/2/2021,NEW HUDSON, MI,42.509573,-83.623552,FATAL,DESTROYED,AIRPLANE,PIPER,PA-24-250,3,0,0
WPR21LA077,1/1/2021,MARANA, AZ,32.409556,-111.21838,MINOR,SUBSTANTIAL,HELICOPTER,BELL,47D,0,1,0
WPR21LA079,1/1/2021,RIVERSIDE, UT,41.78007,-112.14178,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA-20-135,0,0,4
ANC21LA010,12/31/2020,HOPE, AK,60.90678,-149.62317,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172R,0,0,2
ERA21LA096,12/30/2020,TOPPING, VA,37.602493,-76.446681,NON-FATAL,SUBSTANTIAL,AIRPLANE,TAYLORCRAFT,BC12,0,0,2
ERA21LA097,12/30/2020,HOLLY RIDGE, NC,34.487113,-77.52707,NON-FATAL,SUBSTANTIAL,AIRPLANE,MOONEY INTERNATIONAL CORP,M20TN,0,0,1
CEN21LA101,12/29/2020,ALEXANDRIA, MN,45.865475,-95.394471,NON-FATAL,SUBSTANTIAL,AIRPLANE,BEECH,65-80-8800,0,0,1
CEN21LA103,12/29/2020,CYPRESS, TX,30.047197,-95.667653,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172H,0,0,1
ERA21LA093,12/29/2020,WESTFIELD, MA,42.158288,-72.716048,NON-FATAL,SUBSTANTIAL,AIRPLANE,BEECH,95-B55 (T42A),0,0,1
ERA21LA094,12/29/2020,STOWE, PA,40.258777,-75.673808,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,182P,0,0,1
CEN21LA102,12/29/2020,TUCKERS CROSSING, MS,31.611861,-89.086611,FATAL,DESTROYED,HELICOPTER,HUGHES,369D,1,0,0
WPR21LA075,12/28/2020,SANTA YNEZ, CA,34.6079,-120.0843,MINOR,SUBSTANTIAL,AIRPLANE,BEECH,35,0,3,0
CEN21LA105,12/28/2020,NAVASOTA, TX,30.37323,-96.1145,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA-30,0,0,1
ERA21LA088,12/27/2020,CLEVELAND, GA,34.57372,-83.715817,MINOR,SUBSTANTIAL,AIRPLANE,PIPER,PA-22-150,0,2,0
ERA21LA089,12/27/2020,BUNN, NC,35.961,78.2536,SIRUOSE,SUBSTANTIAL,GLIDER,GLASFLUGEL,CLUB LIBELLE 205,0,1,0
ERA21LA091,12/27/2020,PLEASANT VALLEY, NY,41.717864,-73.74979,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,0,1
WPR21LA074,12/26/2020,PEORIA, AZ,33.5705,-112.2503,MINOR,SUBSTANTIAL,BALLOON,AEROSTAR INTERNATIONAL INC,S-60A,0,3,0
CEN21LA098,12/26/2020,WALDRON, MO,39.230667,-94.801305,SIRUOSE,SUBSTANTIAL,AIRPLANE,QUAD CITY AIRCRAFT CORP,CHALLENGER II,0,1,0
ERA21LA090,12/26/2020,LOCUST GROVE, GA,33.364091,-84.168888,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,0,2
CEN21LA100,12/24/2020,PECATONICA, IL,42.303868,-89.344838,SIRUOSE,SUBSTANTIAL,AIRPLANE,WALTON DANIEL J,SONEX,0,1,0
DCA21LA058,12/23/2020,HOUSTON, TX,29.816516,-95.442813,SIRUOSE,,AIRPLANE,AIRBUS INDUSTRIE,A320-232,0,1,139
ERA21LA092,12/22/2020,CULPEPER, VA,38.52582,-77.859583,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172S,0,0,2
ERA21LA095,12/22/2020,MADISONVILLE, TN,35.543597,-84.382684,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,170B,0,0,3
ERA21LA083,12/21/2020,FARMINGDALE, NY,40.7268,-73.410425,SIRUOSE,SUBSTANTIAL,AIRPLANE,RAYTHEON,HAWKER,0,2,0
ERA21LA085,12/21/2020,MIDWAY, GA,31.718528,-81.319325,FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,210L,1,0,0
WPR21LA072,12/21/2020,LIVERMORE, CA,37.693052,-121.81164,NON-FATAL,SUBSTANTIAL,AIRPLANE,NAVION,NAVION A,0,0,1
CEN21LA099,12/21/2020,PEYTON, CO,38.945668,-104.57116,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,150K,0,0,1
CEN21LA096,12/21/2020,GRAND PRAIRIE, TX,32.698778,-97.046917,FATAL,DESTROYED,AIRPLANE,EXPRESS,CT,2,0,0
CEN21LA095,12/20/2020,MORRIS, IL,41.42475,-88.418667,MINOR,SUBSTANTIAL,HELICOPTER,ROBINSON HELICOPTER,R44,0,1,0
CEN21LA092,12/19/2020,BURLESON, TX,32.56537,-97.30837,FATAL,SUBSTANTIAL,AIRPLANE,SONEX,TAILWHEEL,1,0,0
ERA21LA087,12/19/2020,NAPLES, FL,26.130762,-81.817956,MINOR,SUBSTANTIAL,AIRPLANE,PIPER,PA-46-310P,0,2,0
CEN21LA097,12/18/2020,ALBION, NE,41.728577,-98.05576,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,170,0,0,1
ERA21LA081,12/18/2020,TAMPA, FL,27.955283,-82.52836,SIRUOSE,DESTROYED,AIRPLANE,PIPER,PA28,0,3,0
CEN21LA091,12/17/2020,ALEDO, TX,32.6164,-97.6403,FATAL,SUBSTANTIAL,AIRPLANE,EXTRA FLUGZEUGPRODUKTIONS-UND,EA 300/L,1,0,0
ERA21LA080,12/17/2020,PEMBROKE PINES, FL,25.99468,-80.25662,SIRUOSE,DESTROYED,AIRPLANE,SOCATA,TB10,0,4,0
CEN21LA088,12/16/2020,PORT ISABEL, TX,26.159381,-97.350071,FATAL,SUBSTANTIAL,AIRPLANE,RANS,S12XL,2,0,0
WPR21LA070,12/16/2020,HEBER CITY, UT,40.48581,-111.42531,FATAL,SUBSTANTIAL,GYROPLANE,SILVERLIGHT AVIATION LLC,AR-1,1,0,0
ERA21LA077,12/16/2020,JACKSONVILLE, FL,30.344503,-81.519576,NON-FATAL,SUBSTANTIAL,AIRPLANE,EMBRAER,EMB-500,0,0,3
CEN21LA089,12/16/2020,BOSSIER CITY, LA,32.506187,-93.639911,FATAL,DESTROYED,AIRPLANE,PIPER,PA28,2,0,0
ERA21LA078,12/15/2020,ORLANDO, FL,28.528496,-81.481477,MINOR,SUBSTANTIAL,AIRPLANE,LAKE,LA-4-200,0,1,0
CEN21LA086,12/14/2020,LEADVILLE, CO,39.2242,-106.3152,NON-FATAL,SUBSTANTIAL,AIRPLANE,ECLIPSE,EA 500,0,0,1
WPR21LA069,12/13/2020,SAN DIEGO, CA,32.815722,-117.13955,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,0,2
ERA21LA073,12/13/2020,MARION, NC,35.7203,-82.0141,MINOR,SUBSTANTIAL,AIRPLANE,FLIGHT DESIGN,CTSW,0,2,0
ERA21LA070,12/12/2020,NASHVILLE, TN,36.047696,-86.947017,MINOR,SUBSTANTIAL,AIRPLANE,PIPER,PA24,0,1,0
ERA21LA071,12/12/2020,SAN MATEO, FL,29.589292,-81.569887,FATAL,SUBSTANTIAL,GYROPLANE,ANTHONY MATTIOLI,AR-1,1,0,0
ERA21LA068,12/12/2020,ATTALLA, AL,34.093008,-86.086574,FATAL,DESTROYED,AIRPLANE,BEECH,V35A,1,0,0
ERA21LA074,12/11/2020,DEXTER, ME,45.004508,-69.237437,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,0,1
ERA21LA075,12/11/2020,DURHAM, NC,36.024094,-78.716475,NON-FATAL,SUBSTANTIAL,AIRPLANE,KOLB,FIRESTAR,0,0,1
ERA21LA079,12/11/2020,NANTUCKET, MA,41.259407,-70.058238,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA-28-161,0,0,1
WPR21LA068,12/10/2020,OGDEN, UT,41.204699,-111.99879,SIRUOSE,SUBSTANTIAL,AIRPLANE,CIRRUS DESIGN CORP.,SR22,0,1,0
CEN21LA085,12/10/2020,MANVEL, TX,29.4875,-95.314722,SIRUOSE,SUBSTANTIAL,AIRPLANE,LUSCOMBE,8,0,1,0
CEN21LA083,12/10/2020,GLENCOE, MN,44.756006,-94.081461,SIRUOSE,MINOR,AIRPLANE,CESSNA,172,0,0,1
CEN21LA084,12/10/2020,COLORADO CITY, TX,32.315621,-100.94719,FATAL,DESTROYED,HELICOPTER,ROBINSON,R44,2,0,0
ERA21LA084,12/9/2020,BLOUNTSTOWN, FL,30.48703,-85.113785,NON-FATAL,SUBSTANTIAL,AIRPLANE,FORD STEPHEN L,SUPER CHIEF,0,0,1
WPR21LA067,12/8/2020,DILLON, MT,45.264859,-112.55151,SIRUOSE,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,1,0
CEN21LA082,12/8/2020,SPEARFISH, SD,44.481056,-103.786,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA12,0,0,2
CEN21LA080,12/8/2020,HITCHCOCK, TX,29.342925,-95.004477,FATAL,DESTROYED,AIRPLANE,VANS,RV6,1,0,0
CEN21LA078,12/7/2020,SADLER, TX,33.68201,-96.844602,SIRUOSE,SUBSTANTIAL,AIRPLANE,VANS,RV4,0,1,0
ERA21LA062,12/6/2020,SOUTH BOSTON, VA,36.6987,-78.9014,NON-FATAL,SUBSTANTIAL,AIRPLANE,ERCOUPE,415,0,0,1
